|Sociedad CO|Equipo|Denominación|Perfil catálogo|Ubicac.técnica|Indicador ABC|Área de empresa|Pto.tbjo.resp.|Clase de aviso|Aviso|Descripción|Creado el|Inicio deseado|Fin deseado|Prioridad|Fecha de cierre|Status usuario|Status sistema|Autor del aviso|descripcion|descripcion2
166|ISA|117259|Reactor línea monofásico 500 kV-C|N-REACTO|CERR500R21MC-REACT||NOR|38B60001|N4|351283|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-08|2014-02-08|3.0|2014-02-08|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
167|ISA|118447|Reactor neutro 125 kV-RV|N-REACTO|SCAR500R22RN-REACT||NOR|38B60001|N4|351206|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-16|2014-05-16|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
168|ISA|119040|Autotrafo Monofásico 500/230 kV-B|N-AUTOTR|CERR500ATR-3-AUTOT||NOR|38B60001|N4|351267|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-03-18|2014-03-20|3.0|2014-03-18|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
169|ISA|120116|Reactor terciario 34.5 kV|N-REACTO|SCAR034R32MC-REACT||NOR|38B60001|N4|351161|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-13|2014-05-23|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
170|ISA|123172|Reactor línea monofásico 500 kV-B|N-REACTO|CERR500R13MC-REACT||NOR|38B60001|N4|351277|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-05|2014-02-05|3.0|2014-02-06|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
171|ISA|123183|Reactor línea monofásico 500 kV-A|N-REACTO|CERR500R12MC-REACT||NOR|38B60001|N4|351272|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-04|2014-02-04|3.0|2014-02-07|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
172|ISA|201438|Autotrafo Monofásico 500/110 kV-C|N-AUTOTR|CERR500ATRR2||NOR|38B60001|N4|351229|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-04-20|2014-04-30|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
173|ISA|201582|Autotrafo Monofásico 500/110 kV-B|N-AUTOTR|CERR500ATR-1-AUTOT||NOR|38B60001|N4|351258|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-06-02|2014-06-02|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
174|ISA|201585|Autotrafo Monofásico 500/110 kV-A|N-AUTOTR|CERR500ATR-1-AUTOT||NOR|38B60001|N4|351260|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-06-02|2014-06-02|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
175|ISA|2000233|Reactor linea monofasico 500 kV-A|N-REACTO|PORC500R11MC-REACT||NOR|38B60001|N4|351153|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-06-01|2014-06-01|3.0|2014-03-27|INIC COND|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
