Equipo;Posición medida;Valor medido;Fecha;Texto;Texto Ampliado
2014406;EQUIPO TOTAL;5,00;09/02/2021;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014407;EQUIPO TOTAL;5,00;09/02/2021;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
2014408;EQUIPO TOTAL;5,00;09/02/2021;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=;9-DGA=9-T.ACE/9-T.PAP/9-PD/9-ARC//9-OIL=9-FQ/9-DIEL//9-HUM//9-HUM_PAP//9-OIL.TAP/ /5-INSP=9-ENF/8-PRO-M/ 9-CUB/9-BUJ/9-P.CUB/
300092;EQUIPO TOTAL;5,00;09/02/2021;;
300270;EQUIPO TOTAL;5,00;09/02/2021;;
301709;EQUIPO TOTAL;5,00;09/02/2021;;
301710;EQUIPO TOTAL;3,00;09/02/2021;3-HUMEDAD EN PAPEL: /3-HUM_PAP= NO.EQ/;
301711;EQUIPO TOTAL;5,00;09/02/2021;;
301715;EQUIPO TOTAL;5,00;09/02/2021;;
301716;EQUIPO TOTAL;5,00;09/02/2021;;
301717;EQUIPO TOTAL;5,00;09/02/2021;;
301719;EQUIPO TOTAL;3,00;09/02/2021;3-DGA:FALLA TÉRMICA PAPEL. 3-DGA= T-PAP(;3-DGA:FALLA TÉRMICA PAPEL. 3-DGA= T-PAP(C)/
301720;EQUIPO TOTAL;5,00;09/02/2021;;
301721;EQUIPO TOTAL;3,00;09/02/2021;3-DGA:FALLA TÉRMICA PAPEL. 3-DGA= T-PAP(;3-DGA:FALLA TÉRMICA PAPEL. 3-DGA= T-PAP(S)/
301722;EQUIPO TOTAL;3,00;09/02/2021;3-HUMEDAD EN PAPEL: /3-HUM_PAP= NO.EQ/;
136773;EQUIPO TOTAL;3,00;09/02/2021;3-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA;3-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA DE HUMEDAD. 3-INSPECCIONES OPERATIVAS:SISTEMA DE ENFRIAMIENTO. /3-OIL.TAP=DIAG /3-INSP=9-ENF /3-PRO-M/
2005470;EQUIPO TOTAL;5,00;09/02/2021;;
2005471;EQUIPO TOTAL;5,00;09/02/2021;;
100008;REACTOR TOTAL;5,00;08/02/2021;/5-INSP=9-ENF/ 9-GAB/8-BUJ/;
2011290;EQUIPO TOTAL;5,00;08/02/2021;/9-OIL=9-FQ/9-DIE//9-HUM//9-OIL.CORR/ /8;/9-OIL=9-FQ/9-DIE//9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/9-PRO-M/9-CUB/8-GAB/8-BUJ/
2009627;EQUIPO TOTAL;3,00;08/02/2021;/9-OIL=9-FQ/9-DIE//9-HUM//9-OIL.CORR/ /3;/9-OIL=9-FQ/9-DIE//9-HUM//9-OIL.CORR/ /3-INSP=9-ENF/3-PRO-M/ 8-GAB/8-BUJ/
2011281;EQUIPO TOTAL;5,00;08/02/2021;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/9-PRO-;/9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/9-PRO-M/9-CUB/8-GAB/8-BUJ/
2011286;EQUIPO TOTAL;3,00;08/02/2021;/9-HUM//9-OIL.CORR/ /3-INSP=3-ENF/9-PRO-;/9-HUM//9-OIL.CORR/ /3-INSP=3-ENF/9-PRO-M/9-CUB/8-GAB/8-BUJ/
2011288;EQUIPO TOTAL;5,00;08/02/2021;/9-OIL=9-FQ/9-DIE//9-HUM//9-OIL.CORR/ /8;/9-OIL=9-FQ/9-DIE//9-HUM//9-OIL.CORR/ /8-INSP=9-ENF/9-PRO-M/9-CUB/8-GAB/8-BUJ/
2011680;EQUIPO TOTAL;5,00;08/02/2021;/9-OIL.CORR/ /5-INSP=9-ENF/ 8-GAB/8-BUJ/;
2009625;EQUIPO TOTAL;2,00;08/02/2021;/9-OIL.CORR/ /2-INSP=9-ENF/2-PRO-M/ 8-GA;/9-OIL.CORR/ /2-INSP=9-ENF/2-PRO-M/ 8-GAB/8-BUJ/
2011679;EQUIPO TOTAL;5,00;08/02/2021;/9-OIL.CORR/ /5-INSP=9-ENF/ 8-GAB/8-BUJ/;
103447;REACTOR TOTAL;3,00;08/02/2021;/3-INSP=3-ENF/ 3-CUB/9-GAB/8-BUJ/;
300091;REACTOR TOTAL;5,00;08/02/2021;/5-INSP= 8-CUB/9-GAB/8-BUJ/;
300268;REACTOR TOTAL;5,00;08/02/2021;/5-INSP= 8-CUB/9-GAB/8-BUJ/;
300269;REACTOR TOTAL;5,00;08/02/2021;T-PAP(S)/ /5-INSP=9-ENF/ 8-CUB/9-GAB/8-B;T-PAP(S)/ /5-INSP=9-ENF/ 8-CUB/9-GAB/8-BUJ/
200203;EQUIPO TOTAL;5,00;20/12/2020;;
200282;EQUIPO TOTAL;3,00;20/12/2020;3-INSPECCIONES OPERATIVAS: CONDICIÓN CUB;3-INSPECCIONES OPERATIVAS: CONDICIÓN CUBA. /3-INSP= 3-CUB/
200921;EQUIPO TOTAL;5,00;20/12/2020;/9-HUM//9-HUM_PAP//9-OIL.TAP/;
10031581;EQUIPO TOTAL;3,00;20/12/2020;3-DGA:FALLA TÉRMICA PAPEL. 3-DGA= T-PAP(;3-DGA:FALLA TÉRMICA PAPEL. 3-DGA= T-PAP(S)/ /8-OIL.TAP/ /5-INSP= 8-P.CUB/
10027837;EQUIPO TOTAL;3,00;20/12/2020;3-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA;3-CONDICIÓN DIELÉCTRICA OLTC: PRESENCIA DE HUMEDAD. /3-OIL.TAP=DIAG
123158;EQUIPO TOTAL;5,00;20/12/2020;;
123159;EQUIPO TOTAL;3,00;20/12/2020;3-INSPECCIONES OPERATIVAS: CONDICIÓN CUB;3-INSPECCIONES OPERATIVAS: CONDICIÓN CUBA. /3-INSP= 3-CUB/
123157;EQUIPO TOTAL;5,00;20/12/2020;;
123160;EQUIPO TOTAL;3,00;20/12/2020;3-INSPECCIONES OPERATIVAS: CONDICIÓN CUB;3-INSPECCIONES OPERATIVAS: CONDICIÓN CUBA. /3-INSP= 3-CUB/
